Report generated on: 07-12-2024 00:33:58
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-AZE-TBPD.A","        Azerbaijan","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","222","218","183.72714794520547","186.22613424657536","182.5106393442623","182.47226575342467","232.3734520547945","277.09869315068494","282.2218169398907","301.1632054794521","308.85705753424656","311.57371506849313","313.6141174863388","449.97327671232875","651.3522849315068","865.398997260274","874.6622415300546","1011.9790753424658","1040.858797260274","989.0781205479452","927.6480338797815","876.5573205479452","852.714204109589","854.1325726027397","839.0564513661202","794.8208502140905","795.0061213636164","773.2083641042328","700.3683322687978","716.7350728227265","672.776081560999","623.1671597343899",""
"INTL.53-1-BHR-TBPD.A","        Bahrain","69.67671232876712","66.40821917808219","61.4027397260274","60.25136612021858","55.986301369863014","51.323287671232876","49.084931506849315","48.24590163934426","46.082191780821915","43.9041095890411","42","41.0792349726776","42.43561643835616","43.92328767123288","42.42739726027397","43.58743169398907","42.40821917808219","42.0022","38.00305205479452","36.743169398907106","54","193.471","195.471","195.413","199.413","200.633","193.968","197.59","193.358","195.865","199.556","202.007","200.818","197.425","197.383","196.1829","195.5421","193.70770547945204","202.14144931506848","185.4937300546448","210.5174602739726","216.19964657534246","216.20197808219177","215.49838907103825","213.02309315068493","211.09113698630136","211.2317301369863","184.5250142076503","188.54464845514946","201.77721747839527","192.67238078380575",""
"INTL.53-1-BGD-TBPD.A","        Bangladesh","","","","","","","","0","0","0","0.2","0.4","0.7","0.7","0.6","0.8","0.7","1","0.9","1","3","3","3","3","2.495890410958904","2","3.591780821917808","4","4","6","6","6.746","9.56","9.533","8.524","6.386566666666667","5.6188","5.091","5.088","4.8520666666666665","4.1659","4.1431","4.1263","4.1286","14.9256","14.9247","13.9236","13.731840983606558","13.405835402264056","13.096720233041424","12.793995341570268",""
"INTL.53-1-BRB-TBPD.A","        Barbados","","","","","","","","0","0","1","1","2","2","1.9","1.2","1.2","1","1.1","1","1.2","1","1","1","1","1","1","1","1","1","1.071309589041096","1.0138465753424657","1.002","1","1","1","1.001","1.001","1.001","1.001","1.001","1.001","1.001","1","1","0.6408575342465753","1.001","1.001","1.001","0.5335205479452054","0.5074438356164384","1.507849315068493",""
"INTL.53-1-BLR-TBPD.A","        Belarus","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","42","40","40","39","36.82993442622951","36.11455068493151","36.49975890410959","37.116164383561646","36.919","37.04","36.92","36.4","34.679","35.855","36.202","36.211","35.29208","32.257","31.9088","30.71735","30.226","31.1301","32.6124","26.399531506849314","32.959266666666664","32.175024657534244","33.874112328767126","34.25623150684932","34.58876065573771","34.1826539008157","31.967008350099704","29.814287863824454",""
"INTL.53-1-BLZ-TBPD.A","        Belize","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","2.2573095890410957","2.9997972602739726","3.5106639344262294","3.9895013698630137","4.146978082191781","3.853449315068493","2.814051912568306","2.1708383561643836","1.760041095890411","1.7084931506849315","1.7","0.9896624109287672","0.8259573972273972","0.9703505987671233","1.7","0","0","0.7871234",""
"INTL.53-1-BEN-TBPD.A","        Benin","","","","","","","","0","0","0","4","7","8","8","7","5","4","4","4","5.6","4","3","2","1","1","1","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BMU-TBPD.A","        Bermuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BTN-TBPD.A","        Bhutan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BOL-TBPD.A","        Bolivia","","","","","","","","32","26","30","28","27","26","23","24","24","25","26","26","28","25.915068493150685","33","38","42","41","47","40","38.831071038251366","43.93034246575343","44.88394520547945","47.39079452054794","56.51426775956284","51.05228493150685","63.43208493150685","64.53701917808219","51.4991174863388","45.85590136986301","47.76684246575343","49.141997260273975","57.393867759562845","64.97111506849315","68.7762602739726","73.60934657534247","77.42940983606557","78.17478123283561","56.892103232912326","52.12348290404932","48.59407146219126","65.40553047092055","61.983888879846575","57.62912436689315",""
