Report generated on: 07-12-2024 00:35:57
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.3-1-SCG-BCF.A","            Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","29.876","33.97303","27.8","32","23.696365","24.29672","33.26673","23.978885","19.176045","21.25963","22.95475","13.4197","9.8882","9.8882","--","--","--","--","--","--","--","--","--","--","--","--","","--","--","--","--"
"INTL.3-1-SUN-BCF.A","            Former U.S.S.R.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29823","29404","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","--","--","--","--"
"INTL.3-1-YUG-BCF.A","            Former Yugoslavia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","94","92","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","--","--","--","--"
"INTL.3-1-FRA-BCF.A","            France","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","153","156","111.38","120.88","124.767895","118.41","102.801965","91.32459","79.88253","72.996105","66.32157","67.45165","95.70365","84.0497","77.33985","63.21385","65.33275","57.56345","51.91305","48.7347","47.67525","39.5528","36.127245","12.0071","0.600355","0.741615","NA","NA","","","","",""
"INTL.3-1-GUF-BCF.A","            French Guiana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ie","ie","ie","ie","ie","ie","","ie","ie","ie","ie"
"INTL.3-1-PYF-BCF.A","            French Polynesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-GAB-BCF.A","            Gabon","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","88","87.764288443171","94.99735","94.99735","91.11","91.11","91.1127","91.1127","91.1127","91.1127","88.2875","84.0497","81.2245","75.92725","74.1615","74.1615","74.1615","73.4552","73.4552","73.4552","73.4552","76.9867","88.110925","83.62592","83.69655","91.04207","NA","NA","","","","",""
"INTL.3-1-GMB-BCF.A","            Gambia, The","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-GEO-BCF.A","            Georgia","--","--","--","--","--","--","--","--","--","--","--","--","0.71","0","0","0","0","2.1189","2.1189","2.1189","2.1189","2.1189","0.459095","0.7063","0.7063","0.529725","0.35315","0.35315","0.28252","0.35315","0.176575","0.105945","0.07063","0.07063","0.035315","0.35315","NA","NA","","","","",""
"INTL.3-1-DEU-BCF.A","            Germany","--","--","--","--","--","--","--","--","--","--","--","691","693.8","692.456","733.42192","765.77","824.04021","808.183775","786.641625","883.51067","835.800105","841.76834","843.710665","816.97721","746.947565","738.0835","767.0418","757.400805","672.68012","663.109755","568.677445","561.473185","497.09394","464.851345","367.34663","337.25825","NA","NA","","","","",""
"INTL.3-1-DDR-BCF.A","            Germany, East","--","--","--","--","--","--","--","--","--","--","246","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","--","--","--","--"
"INTL.3-1-DEUW-BCF.A","            Germany, West","--","--","--","--","--","--","--","--","--","--","579","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","--","--","--","--"
"INTL.3-1-GHA-BCF.A","            Ghana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.82875","15.89175","19.42325","24.7205","24.7205","45.2032","NA","NA","","","","",""
"INTL.3-1-GIB-BCF.A","            Gibraltar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-GRC-BCF.A","            Greece","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","4","2.896","1.38","1.27","1.377285","1.306655","1.165395","0.07063","1.27134","1.236025","1.306655","0.953505","0.882875","0.56504","0.812245","0.741615","0.49441","0.388465","0.247205","0.21189","0.21189","0.21189","0.176575","0.14126","NA","NA","","","","",""
"INTL.3-1-GRL-BCF.A","            Greenland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
